Date,Reason,Type
29/04/2016,Deployed,Deployed
17/10/2016,firmware change to 1.74,Firmware
28/07/2016,CLT changed,Hardware
15/08/2016,Removed and reinstalled the CLT,Hardware
22/08/2016,Reinstalled the old CLT,Hardware
31/05/2017,Blower turned off,Hardware
21/06/2017,Blower replaced and turned on,Hardware
18/12/2019,Still going,Present
