Date,Reason,Type
09/03/2011,Deployed,Deployed
21/02/2014,firmware change to 2.02,Firmware
19/06/2015,Cleaned,Transmission
06/07/2015,firmware change to 2.03,Firmware
28/07/2016,Changed CLT ,Hardware
17/10/2016,firmware change to 2.04,Firmware
25/09/2020,Still going,Present
